SEARCH_ENGLISH|QUIZ_ENGLISH|SUBSECTION_ENGLISH|SEARCH_SPANISH|QUIZ_SPANISH|SUBSECTION_SPANISH|SEARCH_FRENCH|QUIZ_FRENCH|SUBSECTION_FRENCH|SEARCH_ITALIAN|QUIZ_ITALIAN|SUBSECTION_ITALIAN|SEARCH_CHINESE|QUIZ_CHINESE|SUBSECTION_CHINESE|SEARCH_ARABIC|QUIZ_ARABIC|SUBSECTION_ARABIC|SEARCH_RUSSIAN|QUIZ_RUSSIAN|SUBSECTION_RUSSIAN|X-Axis|Y-Axis|SOURCE IMAGE|SECTION
Anatomical Orientation, Medial|Medial|Anatomical Orientation|Orientación Anatómica, Medio|Medio|Orientación Anatómica|Orientation Anatomique, Médiale|Médian|Orientation Anatomique|Orientamento Anatomico, Mediale|Mediano|Orientamento Anatomico|解剖学定位，内侧|内侧|解剖学取向|منطقة تشريحية، وسطي|وسطي|التوجيه التشريحي|Медиальный отдел|медиальный|Анатомическая Oриентация|2573|983|01 - ANATOMICAL REGIONS - 01.jpg|01 - Anatomical Regions
Anatomical Orientation, Lateral|Lateral|Anatomical Orientation|Orientación Anatómica, Lateral|Lateral|Orientación Anatómica|Orientation Anatomique, Latérale|Latéral|Orientation Anatomique|Orientamento Anatomico, Laterale|Laterale|Orientamento Anatomico|解剖学定位，侧位|外侧|解剖学取向|منطقة تشريحية، اتجاهي، جانبي|جانبي|التوجيه التشريحي|Латеральный отдел|Латеральный|Анатомическая Oриентация|3179|983|01 - ANATOMICAL REGIONS - 01.jpg|01 - Anatomical Regions
Anatomical Area, Cephalic|Cephalic Region|Anatomical Regions|Área Anatómica, Cefálica|Región Cefálica|Regiones Anatómicas|Zone Anatomique, Céphalique|Région céphalique|Zone Anatomique|Area Anatomica, Cefalica|Regione Cefalica|Regioni Anatomiche|解剖区域，头部|头部地带|解剖区域|منطقة تشريحية، رأسي|رأسي|المناطق التشريحية|Область головы|область головы|Анатомические Регионы|2534|251|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Cranial|Cranial Region|Anatomical Regions|Área Anatómica, Craneal|Región Craneal|Regiones Anatómicas|Zone Anatomique, Crânienne|Région crânienne|Zone Anatomique|Area Anatomica, Craniale|Regione Craniale|Regioni Anatomiche|解剖区域，头颅|头颅地带|解剖区域|منطقة تشريحية، دائرة، جمجمي|جمجمي|المناطق التشريحية|Область черепа|область черепа|Анатомические Регионы|712|137|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Frontal|Frontal Region|Anatomical Regions|Área Anatómica, Frontal|Región Frontal|Regiones Anatómicas|Zone Anatomique, Frontale|Région frontale|Zone Anatomique|Area Anatomica, Frontale|Regione Frontale|Regioni Anatomiche|解剖区域，额叶|额叶地带|解剖区域|منطقة تشريحية، أمامي|أمامي|المناطق التشريحية|Область лба|область лба|Анатомические Регионы|712|227|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Orbital|Orbital Regioin|Anatomical Regions|Área Anatómica, Orbital|Regioin Orbital|Regiones Anatómicas|Zone Anatomique, Orbitale|Regioin orbitale|Zone Anatomique|Area Anatomica, Orbitale|Regione Orbitale|Regioni Anatomiche|解剖区域，眼眶|眼眶地带|解剖区域|منطقة تشريحية، المداري|المداري|المناطق التشريحية|Область глазницы|область глазницы|Анатомические Регионы|643|295|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Ocular|Ocular Region|Anatomical Regions|Área Anatómica, Ocualrar|Región Ocualrar|Regiones Anatómicas|Zone Anatomique, Oculaire|Région oculaire|Zone Anatomique|Area Anatomica, Oculare|Regione Oculare|Regioni Anatomiche|解剖区域，眼睛|眼部地带|解剖区域|منطقة تشريحية، عيني|عيني|المناطق التشريحية|Область глаза|Область глаза|Анатомические Регионы|772|305|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Facial|Facial Region|Anatomical Regions|Área Anatómica, Facial|Región Facial|Regiones Anatómicas|Zone Anatomique, Faciale|Région faciale|Zone Anatomique|Area Anatomica, Facciale|Regione Facciale|Regioni Anatomiche|解剖区域，面部|面部地带|解剖区域|منطقة تشريحية، وجهي|وجهي|المناطق التشريحية|Область лица|Лицевая область|Анатомические Регионы|778|359|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Buccal|Buccal Region|Anatomical Regions|Área Anatómica, Bucal|Región Bucal|Regiones Anatómicas|Zone Anatomique, Buccale|Région buccale|Zone Anatomique|Area Anatomica, Buccale|Regione Buccale|Regioni Anatomiche|解剖区域，颊|面颊地带|解剖区域|منطقة تشريحية، فمي|فمي|المناطق التشريحية|Щёчная область|щёчная область|Анатомические Регионы|652|401|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Otic|Otic Region|Anatomical Regions|Área Anatómica, Ótica|Región Ótica|Regiones Anatómicas|Zone Anatomique, Otique|Région otique|Zone Anatomique|Area Anatomica, Otica|Regione Otica|Regioni Anatomiche|解剖区域，耳|耳地带|解剖区域|منطقة تشريحية، أذني|أذني|المناطق التشريحية|Область уха|область уха|Анатомические Регионы|575|317|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Nasal|Nasal Region|Anatomical Regions|Área Anatómica, Nasal|Región Nasal|Regiones Anatómicas|Zone Anatomique, Nasale|Région nasale|Zone Anatomique|Area Anatomica, Nasale|Regione Nasale|Regioni Anatomiche|解剖区域，鼻|鼻地带|解剖区域|منطقة تشريحية، أنفي|أنفي|المناطق التشريحية|Область носа|область носа|Анатомические Регионы|718|347|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Oral|Oral Region|Anatomical Regions|Área Anatómica, Oral|Región Oral|Regiones Anatómicas|Zone Anatomique, Orale|Région orale|Zone Anatomique|Area Anatomica, Orale|Regione Orale|Regioni Anatomiche|解剖区域，口|口地带|解剖区域|منطقة تشريحية، فموي|فموي|المناطق التشريحية|Область рта|Область рта|Анатомические Регионы|724|425|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Mental|Mental Region|Anatomical Regions|Área Anatómica, Mental|Región Mental|Regiones Anatómicas|Zone Anatomique, Mentale|Région mentale|Zone Anatomique|Area Anatomica, Mentale|Regione Mentale|Regioni Anatomiche|解剖区域，颏|颏地带|解剖区域|منطقة تشريحية، عقلي|عقلي|المناطق التشريحية|Область подбородка|область подбородка|Анатомические Регионы|718|479|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Cervical|Cervical Region|Anatomical Regions|Área Anatómica, Cervical|Región Cervical|Regiones Anatómicas|Zone Anatomique, Cervicale|Région cervicale|Zone Anatomique|Area Anatomica, Cervicale|Regione Cervicale|Regioni Anatomiche|解剖区域，子宫颈|颈地带|解剖区域|منطقة تشريحية، دائرة، عنقي|عنقي|المناطق التشريحية|Область шеи|область шеи|Анатомические Регионы|2546|521|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Thoracic|Thoracic Region|Anatomical Regions|Área Anatómica, Torácica|Región Torácica|Regiones Anatómicas|Zone Anatomique, Thoracique|Région thoracique|Zone Anatomique|Area Anatomica, Toracica|Regione Toracica|Regioni Anatomiche|解剖区域，胸部|胸部地带|解剖区域|منطقة تشريحية، صدري|صدري|المناطق التشريحية|Торакальная область|Торакальная область|Анатомические Регионы|724|779|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Axillary|Axillary Region|Anatomical Regions|Área Anatómica, Axilar|Región Axilar|Regiones Anatómicas|Zone Anatomique, Axillaire|Région axillaire|Zone Anatomique|Area Anatomica, Ascellare|Regione Ascellare|Regioni Anatomiche|解剖区域，腋下|腋下地带|解剖区域|منطقة تشريحية، دائرة، ابطي|ابطي|المناطق التشريحية|Подмышечная область|Подмышечная область|Анатомические Регионы|994|779|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Mammary|Mammary Region|Anatomical Regions|Área Anatómica, Mamario|Región Mamaria|Regiones Anatómicas|Zone Anatomique, Mammaire|Région mammaire|Zone Anatomique|Area Anatomica, Mammaria|Regione Mammaria|Regioni Anatomiche|解剖区域，乳房|乳房地带|解剖区域|منطقة تشريحية، ثديي|ثديي|المناطق التشريحية|Область молочной железы|область молочной железы|Анатомические Регионы|880|857|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Abdominal|Abdominal Region|Anatomical Regions|Área Anatómica, Abdominal|Región Abdominal|Regiones Anatómicas|Zone Anatomique, Abdominale|Région abdominale|Zone Anatomique|Area Anatomica, Addominale|Regione Addominale|Regioni Anatomiche|解剖区域，腹部|腹部地带|解剖区域|منطقة تشريحية، بطني|بطني|المناطق التشريحية|Область живота|область живота|Анатомические Регионы|724|1132|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Umbilical|Umbilical Region|Anatomical Regions|Área Anatómica, Umbilical|Región Umbilical|Regiones Anatómicas|Zone Anatomique, Ombilicale|Région ombilicale|Zone Anatomique|Area Anatomica, Ombelicale|Regione Ombelicale|Regioni Anatomiche|解剖区域，脐部|脐部地带|解剖区域|منطقة تشريحية، سري متعلق بالسرة|سري متعلق بالسرة|المناطق التشريحية|Пупочная область|Пупочная область|Анатомические Регионы|724|1288|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Pelvic|Pelvic Region|Anatomical Regions|Área Anatómica, Pélvica|Región Pélvica|Regiones Anatómicas|Zone Anatomique, Pelvienne|Région pelvienne|Zone Anatomique|Area Anatomica, Pelvica|Regione Pelvica|Regioni Anatomiche|解剖区域，骨盆|骨盆地带|解剖区域|منطقة تشريحية، حوضي متعلق بالحوض|حوضي متعلق بالحوض|المناطق التشريحية|Тазовая область|Тазовая область|Анатомические Регионы|718|1342|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Inguinal|Inguinal Region|Anatomical Regions|Área Anatómica, Inguinal|Región Inguinal|Regiones Anatómicas|Zone Anatomique, Inguinale|Région inguinale|Zone Anatomique|Area Anatomica, Inguinale|Regione Inguinale|Regioni Anatomiche|解剖区域，腹股沟|腹股沟地带|解剖区域|منطقة تشريحية، إربي|إربي|المناطق التشريحية|Паховая область|Паховая область|Анатомические Регионы|718|1414|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Pubic|Pubic Region|Anatomical Regions|Área Anatómica, Púbico|Región Púbica|Regiones Anatómicas|Zone Anatomique, Pubienne|Région pubienne|Zone Anatomique|Area Anatomica, Pubica|Regione Pubica|Regioni Anatomiche|解剖区域，耻骨|耻骨地带|解剖区域|منطقة تشريحية، العانة|العانة|المناطق التشريحية|Лобковая область|лобковая область|Анатомические Регионы|718|1516|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Coxal|Coxal Region|Anatomical Regions|Área Anatómica, Coxal|Región Coxal|Regiones Anatómicas|Zone Anatomique, Coccygienne|Région coccygienne|Zone Anatomique|Area Anatomica, Coxale|Regione Coxale|Regioni Anatomiche|解剖区域，髋骨|髋骨地带|解剖区域|منطقة تشريحية، وركي|وركي|المناطق التشريحية|Область копчика|область копчика|Анатомические Регионы|509|1390|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Acromial|Acromial Region|Anatomical Regions|Área Anatómica, Acromial|Región Acromial|Regiones Anatómicas|Zone Anatomique, Acromiale|Région acromiale|Zone Anatomique|Area Anatomica, Acromiale|Regione Acromiale|Regioni Anatomiche|解剖区域，肩峰|肩峰地带|解剖区域|منطقة تشريحية، أخرمي|أخرمي|المناطق التشريحية|Акромиальная область|акромиальная область|Анатомические Регионы|2276|605|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Dorsal|Dorsal Region|Anatomical Regions|Área Anatómica, Dorsal|Región Dorsal|Regiones Anatómicas|Zone Anatomique, Dorsale|Région dorsale|Zone Anatomique|Area Anatomica, Dorsale|Regione Dorsale|Regioni Anatomiche|解剖区域，背部|背部地带|解剖区域|منطقة تشريحية، الظهري|الظهري|المناطق التشريحية|Область спины|область спины|Анатомические Регионы|2546|881|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Lumbar|Lumbar Region|Anatomical Regions|Área Anatómica, Lumbar|Región Lumbar|Regiones Anatómicas|Zone Anatomique, Lombaire|Région lombaire|Zone Anatomique|Area Anatomica, Lombare|Regione Lombare|Regioni Anatomiche|解剖区域，腰部|腰部地带|解剖区域|منطقة تشريحية، قطني|قطني|المناطق التشريحية|Поясничная область|Поясничная область|Анатомические Регионы|2546|1150|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Sacral|Sacral Region|Anatomical Regions|Área Anatómica, Sacro|Región Sacora|Regiones Anatómicas|Zone Anatomique, Sacrée |Région sacrée|Zone Anatomique|Area Anatomica, Sacrale|Regione Sacrale|Regioni Anatomiche|解剖区域，骶骨|骶骨地带|解剖区域|منطقة تشريحية، دائرة، عجزي|عجزي|المناطق التشريحية|Область крестца|область крестца|Анатомические Регионы|2540|1336|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Gluteal|Gluteal Region|Anatomical Regions|Área Anatómica, Glúteos|Región Glútea|Regiones Anatómicas|Zone Anatomique, Fessière|Région fessière|Zone Anatomique|Area Anatomica, Glutea|Regione Glutea|Regioni Anatomiche|解剖区域，臀部|臀部地带|解剖区域|منطقة تشريحية، دائرة، ألوي|ألوي|المناطق التشريحية|Ягодичная область|ягодичная область|Анатомические Регионы|2671|1468|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Brachial|Brachial Region|Anatomical Regions|Área Anatómica, Braquial|Región Braquial|Regiones Anatómicas|Zone Anatomique, Brachiale|Région brachiale|Zone Anatomique|Area Anatomica, Brachiale|Regione Brachiale|Regioni Anatomiche|解剖区域，肱|肱地带|解剖区域|منطقة تشريحية، دائرة، عضدي|عضدي|المناطق التشريحية|Плечевая область|плечевая область|Анатомические Регионы|1066|863|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Antecubital|Antecubital Region|Anatomical Regions|Área Anatómica, Antecubital|Región Antecubital|Regiones Anatómicas|Zone Anatomique, Antécubitale|Région antécubitale|Zone Anatomique|Area Anatomica, Antecubitale|Regione Antecubitale|Regioni Anatomiche|解剖区域，手坳|手坳地带|解剖区域|منطقة تشريحية، أمام المرفق|أمام المرفق|المناطق التشريحية|Внутренняя локтевая область|внутренняя локтевая область|Анатомические Регионы|1102|1120|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Olecranal|Olecranal Region|Anatomical Regions|Área Anatómica, Olecranal|Región Olecranal|Regiones Anatómicas|Zone Anatomique, Olécrânienne|Région olécrânienne|Zone Anatomique|Area Anatomica, Olecranica|Regione Olecranica|Regioni Anatomiche|解剖区域，鹰嘴|鹰嘴地带|解剖区域|منطقة تشريحية، زجي|زجي|المناطق التشريحية|наружная локтевая область|наружная локтевая область|Анатомические Регионы|2204|1102|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Antebrachial|Antebrachial Region|Anatomical Regions|Área Anatómica, Antebranquial|Región Antebranquial|Regiones Anatómicas|Zone Anatomique, Antébrachiale|Région antébrachiale|Zone Anatomique|Area Anatomica, Antebrachiale|Regione Antebrachiale|Regioni Anatomiche|解剖区域，前臂|前臂地带|解剖区域|منطقة تشريحية، ساعدي|ساعدي|المناطق التشريحية|Область предплечья|область предплечья|Анатомические Регионы|1144|1270|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Carpal|Carpal Region|Anatomical Regions|Área Anatómica, Carpal|Región Carpal|Regiones Anatómicas|Zone Anatomique, Carpienne|Région du carpe|Zone Anatomique|Area Anatomica, Carpale|Regione Carpale|Regioni Anatomiche|解剖区域，腕骨|腕部地带|解剖区域|منطقة تشريحية، دائرة، رسغي|رسغي|المناطق التشريحية|Область запястья|область запястья|Анатомические Регионы|269|1474|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Palmar|Palmar Region|Anatomical Regions|Área Anatómica, Palmar|Región Palmar|Regiones Anatómicas|Zone Anatomique, Palmaire|Région palmaire|Zone Anatomique|Area Anatomica, Palmare|Regione Palmare|Regioni Anatomiche|解剖区域，手掌|手掌地带|解剖区域|منطقة تشريحية، راحي ذو علاقة براحة اليد|راحي ذو علاقة براحة اليد|المناطق التشريحية|Ладонная область|ладонная область|Анатомические Регионы|1222|1570|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Digital|Digital Region|Anatomical Regions|Área Anatómica, Digital|Región Digital|Regiones Anatómicas|Zone Anatomique, Digitale|Région digitale|Zone Anatomique|Area Anatomica, Digitale|Regione Digitale|Regioni Anatomiche|解剖区域，指/趾|手指/腳趾地带|解剖区域|منطقة تشريحية، دائرة، اصبعي|اصبعي|المناطق التشريحية|Пальцевая область|пальцевая область|Анатомические Регионы|1240|1684|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Manual|Manual Region|Anatomical Regions|Área Anatómica, Manual|Región Manual|Regiones Anatómicas|Zone Anatomique, Manuelle|Région manuelle|Zone Anatomique|Area Anatomica, Manuale|Regione Manuale|Regioni Anatomiche|解剖区域，手背|手背地带|解剖区域|منطقة تشريحية، يدوي|يدوي|المناطق التشريحية|Область кисти|область руки|Анатомические Регионы|1294|1816|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Pollex|Pollex Region|Anatomical Regions|Área Anatómica, Pollex|Región Pollex|Regiones Anatómicas|Zone Anatomique, Pouce|Région du pouce|Zone Anatomique|Area Anatomica, Pollice|Regione Del Pollice|Regioni Anatomiche|解剖区域，拇指|拇指地带|解剖区域|منطقة تشريحية، ابهام|ابهام|المناطق التشريحية|Область большого пальца руки|область большого пальца руки|Анатомические Регионы|137|1606|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Femoral|Femoral Region|Anatomical Regions|Área Anatómica, Femoral|Región Femoral|Regiones Anatómicas|Zone Anatomique, Fémorale|Région fémorale|Zone Anatomique|Area Anatomica, Femorale|Regione Femorale|Regioni Anatomiche|解剖区域，股骨|股骨地带|解剖区域|منطقة تشريحية، فخذي|فخذي|المناطق التشريحية|Бедренная область|Бедренная область|Анатомические Регионы|898|1744|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Patellar|Patellar Region|Anatomical Regions|Área Anatómica, Patelar|Región Patelar|Regiones Anatómicas|Zone Anatomique, Patellaire|Région patellaire|Zone Anatomique|Area Anatomica, Patellare|Regione Patellare|Regioni Anatomiche|解剖区域，髌骨|髌骨地带|解剖区域|منطقة تشريحية، رضفي|رضفي|المناطق التشريحية|Коленная область|коленная область|Анатомические Регионы|922|2091|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Popliteal|Popliteal Region|Anatomical Regions|Área Anatómica, Poplítea|Región Popliteal|Regiones Anatómicas|Zone Anatomique, Poplitée|Région poplitée|Zone Anatomique|Area Anatomica, Poplitea|Regione Poplitea|Regioni Anatomiche|解剖区域，腘|腘地带|解剖区域|منطقة تشريحية، مأبضي|مأبضي|المناطق التشريحية|Подколенная область|подколенная область|Анатомические Регионы|2737|2091|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Crural|Crural Region|Anatomical Regions|Área Anatómica, Crural|Región Crural|Regiones Anatómicas|Zone Anatomique, Crurale|Région crurale|Zone Anatomique|Area Anatomica, Crurale|Regione Crurale|Regioni Anatomiche|解剖区域，腿|腿地带|解剖区域|منطقة تشريحية، ساقي|ساقي|المناطق التشريحية|Область голени|область голени|Анатомические Регионы|521|2385|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Sural|Sural Region|Anatomical Regions|Área Anatómica, Sural|Región Sural|Regiones Anatómicas|Zone Anatomique, Surale|Région surale|Zone Anatomique|Area Anatomica, Surale|Regione Surale|Regioni Anatomiche|解剖区域，腓肠|腓肠地带|解剖区域|منطقة تشريحية، ربلي|ربلي|المناطق التشريحية|Область икры|область икры|Анатомические Регионы|2348|2337|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Calcaneal|Calcaneal Region|Anatomical Regions|Área Anatómica, Calcaneal|Región Calcaneal|Regiones Anatómicas|Zone Anatomique, Calcanéenne|Région calcanéenne|Zone Anatomique|Area Anatomica, Calcaneare|Regione Calcaneare|Regioni Anatomiche|解剖区域，跟骨|跟骨地带|解剖区域|منطقة تشريحية، عقبي|عقبي|المناطق التشريحية|Пяточная область|пяточная область|Анатомические Регионы|2689|2703|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
Anatomical Area, Tarsal|Tarsal Region|Anatomical Regions|Área Anatómica, Tarsal|Región Tarsal|Regiones Anatómicas|Zone Anatomique, Tarsale|Région du tarse|Zone Anatomique|Area Anatomica, Tarsale|Regione Tarsale|Regioni Anatomiche|解剖区域，跗骨|跗骨地带|解剖区域|منطقة تشريحية، كاحلي , جفني|جفني|المناطق التشريحية|Область лодыжки|область лодыжки|Анатомические Регионы|545|2727|01 - ANATOMICAL REGIONS - 02.jpg|01 - Anatomical Regions
